Season,ETD Week,ETA Week,ETA,Transport,Specie,Variety,Importer,Exporter,Arrival port,Vessel,Boxes
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Owen T,Bengard Marketing,Monte Alto,Los Angeles,Comoros Stream,1668
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Owen T,Bengard Marketing,Soc.c & L Frut,Los Angeles,Comoros Stream,1200
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Owen T,Dayka Hackett Llc,Verfrut Spa,Los Angeles,Comoros Stream,765
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Forever Fresh Llc,Verfrut Spa,Los Angeles,Comoros Stream,1200
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Candy Red,Kingsburg Orchards,C Y D S.a.,Los Angeles,Comoros Stream,220
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Crimson Dawn,Kingsburg Orchards,C Y D S.a.,Los Angeles,Comoros Stream,3319
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Ebony Sweet,Kingsburg Orchards,C Y D S.a.,Los Angeles,Comoros Stream,1994
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Kingsburg Orchards,C Y D S.a.,Los Angeles,Comoros Stream,416
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Sweet Plums,Kingsburg Orchards,C Y D S.a.,Los Angeles,Comoros Stream,63
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Owen T,Kopke Jr.inc. William H.,Exp.agua Santa,Los Angeles,Comoros Stream,110
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Sapphire,Kopke Jr.inc. William H.,Exp.agua Santa,Los Angeles,Comoros Stream,110
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Black Ambar,Pacific Trellis Fruit,Monte Alto,Los Angeles,Comoros Stream,2342
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Black Diamond,Pacific Trellis Fruit,Monte Alto,Los Angeles,Comoros Stream,900
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Pacific Trellis Fruit,Monte Alto,Los Angeles,Comoros Stream,1066
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Owen T,Pacific Trellis Fruit,Monte Alto,Los Angeles,Comoros Stream,134
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Comoros Stream,439
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Owen T,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Comoros Stream,120
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Sapphire,Regatta Tropicals Ltd.,Greenvic,Los Angeles,Comoros Stream,101
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Owen T,Regatta Tropicals Ltd.,Nicofrut S.a.,Los Angeles,Comoros Stream,771
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Lemon,Rio Vista Ventures Llc,Exportafresh Sp,Los Angeles,Comoros Stream,4160
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Crimson Dawn,Sierra Produce,C Y D S.a.,Los Angeles,Comoros Stream,648
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Ebony Sweet,Sierra Produce,C Y D S.a.,Los Angeles,Comoros Stream,775
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortuna,Sierra Produce,C Y D S.a.,Los Angeles,Comoros Stream,1440
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Sierra Produce,C Y D S.a.,Los Angeles,Comoros Stream,952
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Black Ambar,Sierra Produce,Exp.santa Marta,Los Angeles,Comoros Stream,389
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Lemon,Sierra Produce,La Higuera S.a.,Los Angeles,Comoros Stream,3192
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Sierra Produce,Verfrut Spa,Los Angeles,Comoros Stream,128
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Owen T,Sierra Produce,Verfrut Spa,Los Angeles,Comoros Stream,2589
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Honey Punch,Sierra Produce,Verfrut Spa,Los Angeles,Comoros Stream,3
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Crimson Dawn,Summit Produce Inc,Soc.c & L Frut,Los Angeles,Comoros Stream,34
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Fortune,Summit Produce Inc,Soc.c & L Frut,Los Angeles,Comoros Stream,263
2023-2024,4-2024,6-2024,09-02-2024,CHARTER,Plum,Dapple Delight,Walmart Stores Inc.,C Y D S.a.,Los Angeles,Comoros Stream,480
2023-2024,5-2024,5-2024,30-01-2024,AIR,Plum,Friar,Contel Fresh Inc.,Araucaria Exp.,Orlando,AIR,936
2023-2024,5-2024,5-2024,30-01-2024,AIR,Plum,Giant Phoenic,Contel Fresh Inc.,C Y D S.a.,Orlando,AIR,720
2023-2024,5-2024,5-2024,30-01-2024,AIR,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,960
2023-2024,5-2024,5-2024,30-01-2024,AIR,Plum,Crimson Dawn,Direct Sourcing Logistics In,Greenvic,Miami,AIR,155
2023-2024,5-2024,5-2024,30-01-2024,AIR,Plum,Owen T,Direct Sourcing Logistics In,Greenvic,Miami,AIR,1
2023-2024,5-2024,5-2024,30-01-2024,AIR,Plum,Sugar Plums,Sol Fruit International,Chile Terra Spa,Los Angeles,AIR,360
2023-2024,5-2024,5-2024,31-01-2024,AIR,Plum,Owen T,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,1617
2023-2024,5-2024,5-2024,02-02-2024,AIR,Plum,Black Diamond,Dayka Hackett Llc,Tuniche Fruits,Miami,AIR,36
2023-2024,5-2024,5-2024,02-02-2024,AIR,Plum,Black Heart,Dayka Hackett Llc,Tuniche Fruits,Miami,AIR,316
2023-2024,5-2024,5-2024,02-02-2024,AIR,Plum,Dino Pixie 6,Dayka Hackett Llc,Tuniche Fruits,Miami,AIR,176
2023-2024,5-2024,5-2024,02-02-2024,AIR,Plum,Fortune,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,1040
2023-2024,5-2024,5-2024,04-02-2024,AIR,Plum,Red Phoenix,Contel Fresh Inc.,C Y D S.a.,Miami,AIR,576
2023-2024,5-2024,5-2024,04-02-2024,AIR,Plum,Dapple Delight,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,1600
2023-2024,5-2024,6-2024,05-02-2024,AIR,Plum,Owen T,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,603
2023-2024,5-2024,6-2024,05-02-2024,TRUCK,Plum,Happy Giant,Contel Fresh Inc.,Geofrut Ltda.,Miami,TRUCK,534
2023-2024,5-2024,6-2024,05-02-2024,TRUCK,Plum,Owen T,Contel Fresh Inc.,Geofrut Ltda.,Miami,TRUCK,346
2023-2024,5-2024,6-2024,09-02-2024,TRUCK,Plum,Grand Rosa,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,TRUCK,560
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Black Glory,A La Orden,Agricom Ltda.,Los Angeles,Msc Bianca,2686
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Yummy Giant,A La Orden,Agricom Ltda.,Los Angeles,Msc Bianca,2490
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Zafiro,A La Orden,Agricom Ltda.,Los Angeles,Msc Bianca,72
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,A La Orden,Copefrut S.a.,Los Angeles,Msc Bianca,2512
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Crimson Dawn,A La Orden,Lo Garces Spa,Los Angeles,Msc Bianca,231
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Dapple Delight,A La Orden,Lo Garces Spa,Filadelfia,Msc Bianca,814
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Dapple Delight,A La Orden,Lo Garces Spa,Los Angeles,Msc Bianca,3089
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,A La Orden,Lo Garces Spa,Los Angeles,Msc Bianca,640
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Dapple Delight,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Msc Bianca,680
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Owen T,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Msc Bianca,240
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Black Diamond,David Oppenheimer Inc.,Monte Alto,Filadelfia,Msc Bianca,5104
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Msc Bianca,1990
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Honey Punch,David Oppenheimer Inc.,Verfrut Spa,Filadelfia,Msc Bianca,18
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Bianca,1037
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,Forever Fresh Llc,Verfrut Spa,Los Angeles,Msc Bianca,2400
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Owen T,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Bianca,753
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Honey Punch,Forever Fresh Llc,Verfrut Spa,Filadelfia,Msc Bianca,369
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Dapple Delight,Grapeman Farms Lp.,Geofrut Ltda.,Filadelfia,Msc Bianca,700
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Owen T,Grapeman Farms Lp.,Geofrut Ltda.,Filadelfia,Msc Bianca,220
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Dapple Delight,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Msc Bianca,680
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Owen T,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Msc Bianca,120
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Blue Giant,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Msc Bianca,312
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Msc Bianca,448
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Lemon,Pacific Trellis Fruit,David Del Curto,Filadelfia,Msc Bianca,1207
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Black Diamond,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Bianca,7873
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Bianca,2410
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Owen T,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Bianca,80
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Sweet Lady,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Bianca,606
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Sweet Diamond,Pacific Trellis Fruit,Monte Alto,Filadelfia,Msc Bianca,1515
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Candy Red,Pacific Trellis Fruit,Prize S.a.,Filadelfia,Msc Bianca,1600
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Lemon,Pacific Trellis Fruit,Prize S.a.,Filadelfia,Msc Bianca,308
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Blue Giant,Regatta Tropicals Ltd.,Greenvic,Filadelfia,Msc Bianca,93
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,Regatta Tropicals Ltd.,Greenvic,Filadelfia,Msc Bianca,373
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Owen T,Regatta Tropicals Ltd.,Greenvic,Filadelfia,Msc Bianca,882
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Sapphire,Regatta Tropicals Ltd.,Greenvic,Filadelfia,Msc Bianca,77
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,Summit Produce Inc,Soc.c & L Frut,Los Angeles,Msc Bianca,136
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Dapple Delight,Walmart Stores Inc.,C Y D S.a.,Los Angeles,Msc Bianca,3960
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Fortune,Walmart Stores Inc.,Verfrut Spa,Los Angeles,Msc Bianca,2322
2023-2024,5-2024,6-2024,10-02-2024,LINER,Plum,Honey Punch,Walmart Stores Inc.,Verfrut Spa,Los Angeles,Msc Bianca,238
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Fortune,A La Orden,C Y D S.a.,Gloucester,Ditlev Reefer,122
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Blue Giant,A La Orden,Gesex S.a.,Gloucester,Ditlev Reefer,1320
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Flavor Rich,A La Orden,Gesex S.a.,Gloucester,Ditlev Reefer,480
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Purple Heart,A La Orden,Gesex S.a.,Gloucester,Ditlev Reefer,120
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Crimson Dawn,A La Orden,Lo Garces Spa,Gloucester,Ditlev Reefer,981
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Dapple Dandy,A La Orden,Lo Garces Spa,Gloucester,Ditlev Reefer,720
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Candy Red,Capespan North America Llc,C Y D S.a.,Gloucester,Ditlev Reefer,375
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Crimson Dawn,Capespan North America Llc,C Y D S.a.,Gloucester,Ditlev Reefer,150
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Ebony Sweet,Capespan North America Llc,C Y D S.a.,Gloucester,Ditlev Reefer,375
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Lemon,David Oppenheimer Inc.,Gedesa Exp.s.a.,Gloucester,Ditlev Reefer,10512
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Blue Giant,Kopke Jr.inc. William H.,Greenvic,Gloucester,Ditlev Reefer,91
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Crimson Dawn,Kopke Jr.inc. William H.,Greenvic,Gloucester,Ditlev Reefer,1924
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Fortune,Kopke Jr.inc. William H.,Greenvic,Gloucester,Ditlev Reefer,560
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Happy Giant,Kopke Jr.inc. William H.,Greenvic,Gloucester,Ditlev Reefer,276
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Owen T,Kopke Jr.inc. William H.,Greenvic,Gloucester,Ditlev Reefer,21
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Laroda,Pacific Trellis Fruit,Exp.fms Spa,Gloucester,Ditlev Reefer,3300
2023-2024,5-2024,7-2024,13-02-2024,CHARTER,Plum,Fortune,Summit Produce Inc,Soc.c & L Frut,Gloucester,Ditlev Reefer,61
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Fortune,A La Orden,Copefrut S.a.,Filadelfia,Maersk Bratan,2432
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Crimson Dawn,A La Orden,Lo Garces Spa,Filadelfia,Maersk Bratan,128
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Crimson Dawn,Colima Walmart,Soc.c & L Frut,Savannah,Maersk Bratan,1664
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Red Phoenix,Colima Walmart,Soc.c & L Frut,Savannah,Maersk Bratan,888
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Dapple Delight,David Oppenheimer Inc.,Geofrut Ltda.,Filadelfia,Maersk Bratan,1350
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Dapple Delight,Dayka Hackett Llc,Geofrut Ltda.,Filadelfia,Maersk Bratan,272
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Dapple Delight,Jac Vandenberg Inc.,Geofrut Ltda.,Filadelfia,Maersk Bratan,1360
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Crimson Dawn,Summit Produce Inc,Soc.c & L Frut,Filadelfia,Maersk Bratan,750
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Fortune,Summit Produce Inc,Soc.c & L Frut,Filadelfia,Maersk Bratan,162
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Red Phoenix,Summit Produce Inc,Soc.c & L Frut,Filadelfia,Maersk Bratan,200
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Ci 336,Walmart Stores Inc.,Verfrut Spa,Savannah,Maersk Bratan,1263
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Leticia,Walmart Stores Inc.,Verfrut Spa,Savannah,Maersk Bratan,128
2023-2024,5-2024,7-2024,13-02-2024,LINER,Plum,Pink Delight,Walmart Stores Inc.,Verfrut Spa,Savannah,Maersk Bratan,1169
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Larry Ann,Capespan North America Inc.,Verfrut Spa,Filadelfia,Cape Scott,136
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Owen T,Capespan North America Inc.,Verfrut Spa,Filadelfia,Cape Scott,357
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Honey Punch,Capespan North America Inc.,Verfrut Spa,Filadelfia,Cape Scott,510
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Happy Giant,Kopke Jr.inc. William H.,Greenvic,Filadelfia,Cape Scott,792
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Fortune,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cape Scott,1072
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Larry Ann,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cape Scott,256
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Sweet Lady,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cape Scott,170
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Sweet Diamond,Pacific Trellis Fruit,Monte Alto,Filadelfia,Cape Scott,170
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Fortune,Sierra Produce,Verfrut Spa,Filadelfia,Cape Scott,68
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Larry Ann,Sierra Produce,Verfrut Spa,Filadelfia,Cape Scott,952
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Pink Delight,Sierra Produce,Verfrut Spa,Filadelfia,Cape Scott,68
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Honey Punch,Sierra Produce,Verfrut Spa,Filadelfia,Cape Scott,340
2023-2024,5-2024,7-2024,16-02-2024,LINER,Plum,Dapple Dandy,Summit Produce Inc,Lafrut Ltda.,Filadelfia,Cape Scott,2720
2023-2024,6-2024,6-2024,06-02-2024,AIR,Plum,Dapple Delight,Contel Fresh Inc.,C Y D S.a.,Orlando,AIR,1800
2023-2024,6-2024,6-2024,06-02-2024,AIR,Plum,Red Phoenix,Contel Fresh Inc.,C Y D S.a.,Orlando,AIR,360
2023-2024,6-2024,6-2024,06-02-2024,AIR,Plum,Flavor Rich,Contel Fresh Inc.,Frucentro S.a.,Miami,AIR,1728
2023-2024,6-2024,6-2024,06-02-2024,AIR,Plum,Pink Delight,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,968
2023-2024,6-2024,6-2024,06-02-2024,AIR,Plum,Fortune,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,280
2023-2024,6-2024,6-2024,06-02-2024,AIR,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,1640
2023-2024,6-2024,6-2024,06-02-2024,AIR,Plum,Sugar Plums,Sol Fruit International,Chile Terra Spa,Los Angeles,AIR,576
2023-2024,6-2024,6-2024,07-02-2024,AIR,Plum,Owen T,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,880
2023-2024,6-2024,6-2024,07-02-2024,AIR,Plum,Grand Rosa,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,33
2023-2024,6-2024,6-2024,07-02-2024,AIR,Plum,Owen T,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,2
2023-2024,6-2024,6-2024,07-02-2024,AIR,Plum,D Agen,Summit Produce Inc,Soc.c & L Frut,Miami,AIR,320
2023-2024,6-2024,6-2024,08-02-2024,AIR,Plum,Black Heart,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,432
2023-2024,6-2024,6-2024,08-02-2024,AIR,Plum,Larry Ann,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,936
2023-2024,6-2024,6-2024,08-02-2024,AIR,Plum,Happy Giant,Contel Fresh Inc.,Soc.c & L Frut,Miami,AIR,880
2023-2024,6-2024,6-2024,08-02-2024,AIR,Plum,Sweet Princess,Dayka Hackett Llc,Tuniche Fruits,Miami,AIR,352
2023-2024,6-2024,6-2024,09-02-2024,AIR,Plum,Black Heart,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,288
2023-2024,6-2024,6-2024,09-02-2024,AIR,Plum,Larry Ann,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,637
2023-2024,6-2024,6-2024,09-02-2024,AIR,Plum,Pink Delight,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,523
2023-2024,6-2024,6-2024,09-02-2024,AIR,Plum,Black Heart,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,480
2023-2024,6-2024,6-2024,09-02-2024,AIR,Plum,Happy Giant,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,552
2023-2024,6-2024,6-2024,09-02-2024,AIR,Plum,Larry Ann,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,408
2023-2024,6-2024,6-2024,10-02-2024,AIR,Plum,Flavor Rich,Contel Fresh Inc.,Frucentro S.a.,Miami,AIR,1440
2023-2024,6-2024,6-2024,10-02-2024,AIR,Plum,Larry Ann,Contel Fresh Inc.,Frucentro S.a.,Miami,AIR,1440
2023-2024,6-2024,6-2024,10-02-2024,AIR,Plum,Black Heart,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,480
2023-2024,6-2024,6-2024,11-02-2024,AIR,Plum,Larry Ann,Contel Fresh Inc.,Geofrut Ltda.,Miami,AIR,1600
2023-2024,6-2024,6-2024,11-02-2024,AIR,Plum,Leticia,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,851
2023-2024,6-2024,6-2024,11-02-2024,AIR,Plum,Pink Delight,Direct Source Marketing Inc,Verfrut Spa,Miami,AIR,589
2023-2024,6-2024,6-2024,11-02-2024,AIR,Plum,Black Heart,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,129
2023-2024,6-2024,6-2024,11-02-2024,AIR,Plum,Happy Giant,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,125
2023-2024,6-2024,6-2024,11-02-2024,AIR,Plum,Larry Ann,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,251
2023-2024,6-2024,7-2024,12-02-2024,AIR,Plum,Pink Delight,Contel Fresh Inc.,Araucaria Exp.,Miami,AIR,720
2023-2024,6-2024,7-2024,12-02-2024,AIR,Plum,Black Majestic,Contel Fresh Inc.,C Y D S.a.,Miami,AIR,720
2023-2024,6-2024,7-2024,12-02-2024,AIR,Plum,Larry Ann,Contel Fresh Inc.,C Y D S.a.,Miami,AIR,720
2023-2024,6-2024,7-2024,12-02-2024,AIR,Plum,Flavor Rich,Contel Fresh Inc.,Frucentro S.a.,Miami,AIR,864
2023-2024,6-2024,7-2024,12-02-2024,AIR,Plum,Larry Ann,Contel Fresh Inc.,Frucentro S.a.,Miami,AIR,864
2023-2024,6-2024,7-2024,12-02-2024,AIR,Plum,Larry Ann,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,AIR,200
2023-2024,6-2024,7-2024,12-02-2024,TRUCK,Plum,Flavor Rich,Contel Fresh Inc.,Frucentro S.a.,Miami,TRUCK,1728
2023-2024,6-2024,7-2024,12-02-2024,TRUCK,Plum,Grand Rosa,Direct Sourcing Logistics In,Geofrut Ltda.,Miami,TRUCK,880
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Crimson Dawn,A La Orden,Lo Garces Spa,Los Angeles,Msc Nitya B,92
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Dapple Dandy,A La Orden,Lo Garces Spa,Filadelfia,Msc Nitya B,480
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Dapple Delight,A La Orden,Lo Garces Spa,Los Angeles,Msc Nitya B,959
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Dapple Delight,A La Orden,Lo Garces Spa,Savannah,Msc Nitya B,2304
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Happy Giant,A La Orden,Lo Garces Spa,Los Angeles,Msc Nitya B,327
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Happy Giant,A La Orden,Lo Garces Spa,Savannah,Msc Nitya B,256
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Larry Ann,A La Orden,Lo Garces Spa,Filadelfia,Msc Nitya B,60
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Pink Delight,A La Orden,Lo Garces Spa,Los Angeles,Msc Nitya B,22
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Lemon,Bengard Marketing,David Del Curto,Los Angeles,Msc Nitya B,7616
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Dapple Dandy,David Oppenheimer Inc.,Lq Fruit Ltda.,Filadelfia,Msc Nitya B,4208
2023-2024,6-2024,7-2024,17-02-2024,LINER,Plum,Fortune,David Oppenheimer Inc.,Lq Fruit Ltda.,Filadelfia,Msc Nitya B,112
2023-2024,6-2024,7-2024,17-02-2024,TRUCK,Plum,Black Heart,Contel Fresh Inc.,Geofrut Ltda.,Miami,TRUCK,480
2023-2024,6-2024,7-2024,17-02-2024,TRUCK,Plum,Pink Delight,Contel Fresh Inc.,Geofrut Ltda.,Miami,TRUCK,480
2023-2024,6-2024,7-2024,17-02-2024,TRUCK,Plum,Pink Delight,Contel Fresh Inc.,Verfrut Spa,Miami,TRUCK,704
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Dapple Dandy,A La Orden,Lo Garces Spa,Filadelfia,Maersk Bulan,314
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Dapple Delight,A La Orden,Lo Garces Spa,Filadelfia,Maersk Bulan,872
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Larry Ann,A La Orden,Lo Garces Spa,Filadelfia,Maersk Bulan,466
2023-2024,6-2024,8-2024,20-02-2024,LINER,Plum,Happy Giant,Colima Walmart,Soc.c & L Frut,Savannah,Maersk Bulan,2560
